id,rol,victima_x,sexo,edad,fecha_fallecimiento,categoria_edad,n_victimas,fecha,anio,mes,dia,nombre_dia,laboral,hora_exacta,hora,categoria_hora,tipo_calle,calle,cruce,direccion_norm,comuna,latitud,longitud,participantes,victima_y,acusado
2017-0102,PEATON,PEATON,MASCULINO,46.0,2017-08-24,entre_40_y_60,1,2017-08-24,2017,8,24,jueves,Laboral,01:10:00,1,noche,AVENIDA,"IRIARTE, GRAL. AV.",ZAVALETA,"IRIARTE, GRAL. AV. y ZAVALETA",4,-34.65107080,-58.40056767,PEATON-CARGAS,PEATON,CARGAS
2017-0104,PEATON,PEATON,FEMENINO,18.0,2017-08-25,entre_0_y_20,1,2017-08-25,2017,8,25,viernes,Laboral,09:00:00,9,mañana,AVENIDA,9 DE JULIO AV.,ESTADOS UNIDOS,9 DE JULIO AV. y ESTADOS UNIDOS,1,-34.61853244,-58.38109568,PEATON-CARGAS,PEATON,CARGAS
2017-0106,PEATON,PEATON,FEMENINO,85.0,2017-08-31,mas_de_80,1,2017-08-31,2017,8,31,jueves,Laboral,19:50:00,19,tarde-noche,CALLE,FRAY JUSTO SANTAMARIA DE ORO,GUEMES,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,14,-34.58035258,-58.42533612,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0107,CONDUCTOR,MOTO,MASCULINO,41.0,2017-09-01,entre_40_y_60,1,2017-09-01,2017,9,1,viernes,Laboral,11:30:00,11,mañana,AVENIDA,DEL LIBERTADOR AV.,JARAMILLO,DEL LIBERTADOR AV. y JARAMILLO,13,-34.54395182,-58.46062311,MOTO-CARGAS,MOTO,CARGAS
2017-0108,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17.0,2017-09-02,entre_0_y_20,2,2017-09-02,2017,9,2,sábado,No Laboral,04:53:08,4,noche,GRAL PAZ,"PAZ, GRAL. AV.",MACHAIN,"PAZ, GRAL. AV. y MACHAIN",12,-34.54795581,-58.49491054,AUTO-OBJETO FIJO,OBJETO FIJO,AUTO
2017-0108,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10.0,2017-09-02,entre_0_y_20,2,2017-09-02,2017,9,2,sábado,No Laboral,04:53:08,4,noche,GRAL PAZ,"PAZ, GRAL. AV.",MACHAIN,"PAZ, GRAL. AV. y MACHAIN",12,-34.54795581,-58.49491054,AUTO-OBJETO FIJO,OBJETO FIJO,AUTO
2017-0109,CONDUCTOR,MOTO,MASCULINO,21.0,2017-09-05,entre_20_y_40,1,2017-09-04,2017,9,4,lunes,Laboral,21:00:00,21,tarde-noche,AVENIDA,DIRECTORIO AV.,PORTELA,DIRECTORIO AV. y PORTELA,7,-34.63665402,-58.47130269,MOTO-AUTO,MOTO,AUTO
2017-0110,PEATON,PEATON,MASCULINO,56.0,2017-09-07,entre_40_y_60,1,2017-09-06,2017,9,6,miércoles,Laboral,14:15:00,14,tarde,AVENIDA,LAVALLE,"ALEM, LEANDRO N. AV.","LAVALLE y ALEM, LEANDRO N. AV.",1,-34.60189492,-58.37048800,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0111,PEATON,PEATON,FEMENINO,79.0,2017-09-07,entre_60_y_80,1,2017-09-07,2017,9,7,jueves,Laboral,18:23:37,18,tarde-noche,CALLE,USPALLATA,PIROVANO,USPALLATA y PIROVANO,4,-34.64234110,-58.42023854,PEATON-CARGAS,PEATON,CARGAS
2017-0112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1.0,,entre_0_y_20,2,2017-09-10,2017,9,10,domingo,No Laboral,09:32:17,9,mañana,AUTOPISTA,AUTOPISTA 25 DE MAYO,,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-34.63997430,-58.45807401,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
