id,rol,victima,sexo,edad,fecha_fallecimiento,categoria_edad
2017-0053,CONDUCTOR,MOTO,MASCULINO,28.0,2017-05-05,entre_20_y_40
2017-0054,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20.0,2017-05-07,entre_20_y_40
2017-0055,CONDUCTOR,AUTO,MASCULINO,32.0,2017-05-09,entre_20_y_40
2017-0058,PEATON,PEATON,MASCULINO,80.0,2017-05-09,mas_de_80
2017-0059,PEATON,PEATON,FEMENINO,39.0,2017-05-11,entre_20_y_40
2017-0060,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30.0,2017-05-13,entre_20_y_40
2017-0061,PEATON,PEATON,MASCULINO,47.0,2017-05-16,entre_40_y_60
2017-0062,CONDUCTOR,MOTO,MASCULINO,35.0,2017-05-15,entre_20_y_40
2017-0063,PEATON,PEATON,FEMENINO,79.0,2017-05-17,entre_60_y_80
2017-0064,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61.0,2017-05-20,entre_60_y_80
2017-0065,CICLISTA,BICICLETA,MASCULINO,21.0,2017-05-22,entre_20_y_40
2017-0066,PEATON,PEATON,MASCULINO,10.0,2017-05-22,entre_0_y_20
2017-0067,CONDUCTOR,MOTO,MASCULINO,21.0,2017-05-23,entre_20_y_40
2017-0068,CONDUCTOR,MOTO,MASCULINO,32.0,2017-05-27,entre_20_y_40
2017-0069,CONDUCTOR,MOTO,MASCULINO,39.0,2017-05-29,entre_20_y_40
2017-0070,PEATON,PEATON,MASCULINO,80.0,2017-05-31,mas_de_80
2017-0072,CONDUCTOR,AUTO,MASCULINO,25.0,2017-06-03,entre_20_y_40
2017-0073,CONDUCTOR,MOTO,MASCULINO,19.0,2017-06-04,entre_0_y_20
2017-0074,SD,SD,MASCULINO,70.0,2017-06-04,entre_60_y_80
2017-0075,PEATON,PEATON,MASCULINO,55.0,2017-06-12,entre_40_y_60
2017-0076,PEATON,PEATON,FEMENINO,30.0,2017-06-13,entre_20_y_40
2017-0077,CONDUCTOR,MOTO,FEMENINO,60.0,2017-06-18,entre_60_y_80
2017-0079,CONDUCTOR,MOTO,MASCULINO,33.0,2017-06-19,entre_20_y_40
2017-0080,PEATON,PEATON,FEMENINO,95.0,2017-06-22,mas_de_80
2017-0082,PEATON,PEATON,MASCULINO,36.0,2017-06-25,entre_20_y_40
2017-0083,CONDUCTOR,MOTO,MASCULINO,37.0,2017-07-04,entre_20_y_40
2017-0084,PEATON,PEATON,FEMENINO,73.0,2017-07-05,entre_60_y_80
2017-0085,PEATON,PEATON,MASCULINO,84.0,2017-07-07,mas_de_80
2017-0086,PEATON,PEATON,FEMENINO,30.0,2017-07-09,entre_20_y_40
2017-0087,PEATON,PEATON,FEMENINO,73.0,2017-07-10,entre_60_y_80
2017-0088,PEATON,PEATON,MASCULINO,43.0,2017-07-10,entre_40_y_60
2017-0089,SD,SD,MASCULINO,23.0,,entre_20_y_40
2017-0090,PEATON,PEATON,MASCULINO,22.0,2017-07-15,entre_20_y_40
2017-0091,CONDUCTOR,MOTO,MASCULINO,58.0,2017-07-15,entre_40_y_60
2017-0092,PEATON,PEATON,MASCULINO,66.0,2017-07-24,entre_60_y_80
2017-0093,PEATON,PEATON,MASCULINO,0.0,2017-07-25,edad_desconocida
2017-0094,CICLISTA,BICICLETA,FEMENINO,56.0,2017-07-27,entre_40_y_60
2017-0095,CONDUCTOR,MOTO,MASCULINO,36.0,2017-08-06,entre_20_y_40
2017-0096,PEATON,PEATON,MASCULINO,87.0,2017-08-07,mas_de_80
2017-0098,PEATON,PEATON,FEMENINO,61.0,2017-08-08,entre_60_y_80
2017-0099,CICLISTA,BICICLETA,MASCULINO,28.0,2017-08-17,entre_20_y_40
2017-0100,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16.0,2017-08-21,entre_0_y_20
2017-0101,PEATON,PEATON,FEMENINO,61.0,2017-08-23,entre_60_y_80
2017-0102,PEATON,PEATON,MASCULINO,46.0,2017-08-24,entre_40_y_60
